primary_unit_encoded,skill_encoded,jaccard_followers,jaccard_followees,num_followers_s,num_followees_s,num_followers_d,num_followees_d,inter_followers,inter_followees,adar_index,follows_back,same_comp,shortest_path
143,50,0.0,0.0,0,6,1,0,0,0,0,0,0,-1
144,8,0.0,0.0,0,19,1,0,0,0,0,0,0,-1
146,79,0.0,0.0,0,14,1,0,0,0,0,0,0,-1
142,36,0.0,0.0,0,20,1,0,0,0,0,0,0,-1
144,39,0.0,0.0,0,19,1,0,0,0,0,0,0,-1
144,5,0.0,0.0,0,19,1,0,0,0,0,0,0,-1
144,14,0.0,0.0,0,19,1,0,0,0,0,0,0,-1
146,123,0.0,0.0,0,14,1,0,0,0,0,0,0,-1
144,6,0.0,0.0,0,19,1,0,0,0,0,0,0,-1
146,122,0.0,0.0,0,14,1,0,0,0,0,0,0,-1
144,76,0.0,0.0,0,19,1,0,0,0,0,0,0,-1
142,69,0.0,0.0,0,20,1,0,0,0,0,0,0,-1
145,119,0.0,0.0,0,13,1,0,0,0,0,0,0,-1
148,58,0.0,0.0,0,6,1,0,0,0,0,0,0,-1
144,73,0.0,0.0,0,19,1,0,0,0,0,0,0,-1
143,42,0.0,0.0,0,6,1,0,0,0,0,0,0,-1
142,53,0.0,0.0,0,20,1,0,0,0,0,0,0,-1
144,105,0.0,0.0,0,19,1,0,0,0,0,0,0,-1
142,118,0.0,0.0,0,20,1,0,0,0,0,0,0,-1
142,128,0.0,0.0,0,20,2,0,0,0,0,0,0,-1
145,113,0.0,0.0,0,13,1,0,0,0,0,0,0,-1
142,93,0.0,0.0,0,20,1,0,0,0,0,0,0,-1
143,136,0.0,0.0,0,6,1,0,0,0,0,0,0,-1
146,49,0.0,0.0,0,14,1,0,0,0,0,0,0,-1
145,46,0.0,0.0,0,13,1,0,0,0,0,0,0,-1
142,101,0.0,0.0,0,20,1,0,0,0,0,0,0,-1
145,26,0.0,0.0,0,13,1,0,0,0,0,0,0,-1
145,103,0.0,0.0,0,13,1,0,0,0,0,0,0,-1
143,135,0.0,0.0,0,6,1,0,0,0,0,0,0,-1
146,81,0.0,0.0,0,14,1,0,0,0,0,0,0,-1
142,51,0.0,0.0,0,20,1,0,0,0,0,0,0,-1
142,116,0.0,0.0,0,20,1,0,0,0,0,0,0,-1
144,70,0.0,0.0,0,19,1,0,0,0,0,0,0,-1
145,22,0.0,0.0,0,13,1,0,0,0,0,0,0,-1
142,12,0.0,0.0,0,20,1,0,0,0,0,0,0,-1
146,29,0.0,0.0,0,14,1,0,0,0,0,0,0,-1
142,3,0.0,0.0,0,20,1,0,0,0,0,0,0,-1
146,92,0.0,0.0,0,14,1,0,0,0,0,0,0,-1
145,62,0.0,0.0,0,13,1,0,0,0,0,0,0,-1
147,35,0.0,0.0,0,3,1,0,0,0,0,0,0,-1
143,139,0.0,0.0,0,6,1,0,0,0,0,0,0,-1
144,75,0.0,0.0,0,19,1,0,0,0,0,0,0,-1
142,13,0.0,0.0,0,20,1,0,0,0,0,0,0,-1
147,121,0.0,0.0,0,3,1,0,0,0,0,0,0,-1
144,126,0.0,0.0,0,19,1,0,0,0,0,0,0,-1
148,104,0.0,0.0,0,6,1,0,0,0,0,0,0,-1
145,112,0.0,0.0,0,13,1,0,0,0,0,0,0,-1
148,10,0.0,0.0,0,6,1,0,0,0,0,0,0,-1
148,48,0.0,0.0,0,6,1,0,0,0,0,0,0,-1
144,7,0.0,0.0,0,19,1,0,0,0,0,0,0,-1
146,37,0.0,0.0,0,14,1,0,0,0,0,0,0,-1
142,83,0.0,0.0,0,20,1,0,0,0,0,0,0,-1
145,115,0.0,0.0,0,13,1,0,0,0,0,0,0,-1
144,82,0.0,0.0,0,19,1,0,0,0,0,0,0,-1
146,64,0.0,0.0,0,14,1,0,0,0,0,0,0,-1
142,19,0.0,0.0,0,20,1,0,0,0,0,0,0,-1
142,100,0.0,0.0,0,20,1,0,0,0,0,0,0,-1
144,77,0.0,0.0,0,19,1,0,0,0,0,0,0,-1
142,0,0.0,0.0,0,20,1,0,0,0,0,0,0,-1
146,88,0.0,0.0,0,14,1,0,0,0,0,0,0,-1
142,84,0.0,0.0,0,20,1,0,0,0,0,0,0,-1
146,108,0.0,0.0,0,14,1,0,0,0,0,0,0,-1
142,125,0.0,0.0,0,20,1,0,0,0,0,0,0,-1
142,3,0.0,0.0,0,20,1,0,0,0,0,0,0,-1
145,1,0.0,0.0,0,13,1,0,0,0,0,0,0,-1
148,138,0.0,0.0,0,6,1,0,0,0,0,0,0,-1
145,40,0.0,0.0,0,13,1,0,0,0,0,0,0,-1
146,38,0.0,0.0,0,14,1,0,0,0,0,0,0,-1
147,106,0.0,0.0,0,3,1,0,0,0,0,0,0,-1
145,137,0.0,0.0,0,13,1,0,0,0,0,0,0,-1
142,56,0.0,0.0,0,20,1,0,0,0,0,0,0,-1
143,78,0.0,0.0,0,6,1,0,0,0,0,0,0,-1
146,4,0.0,0.0,0,14,1,0,0,0,0,0,0,-1
144,61,0.0,0.0,0,19,1,0,0,0,0,0,0,-1
144,31,0.0,0.0,0,19,1,0,0,0,0,0,0,-1
144,110,0.0,0.0,0,19,1,0,0,0,0,0,0,-1
148,80,0.0,0.0,0,6,1,0,0,0,0,0,0,-1
145,20,0.0,0.0,0,13,1,0,0,0,0,0,0,-1
142,86,0.0,0.0,0,20,1,0,0,0,0,0,0,-1
144,131,0.0,0.0,0,19,1,0,0,0,0,0,0,-1
144,74,0.0,0.0,0,19,1,0,0,0,0,0,0,-1
146,128,0.0,0.0,0,14,2,0,0,0,0,0,0,-1
12,13,1.0,0.0,1,0,1,0,1,0,0,0,1,-1
66,26,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
45,22,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
52,87,0.0,0.0,0,0,0,0,0,0,0,0,0,-1
25,80,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
62,46,1.0,0.0,1,0,1,0,1,0,0,0,1,-1
30,19,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
71,25,0.0,0.0,0,0,0,0,0,0,0,0,0,-1
40,18,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
50,21,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
41,29,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
34,80,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
5,103,0.0,0.0,1,0,1,0,0,0,0,0,0,-1
87,6,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
54,96,0.0,0.0,0,0,0,0,0,0,0,0,0,-1
3,103,0.0,0.0,1,0,1,0,0,0,0,0,0,-1
27,56,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
30,55,0.0,0.0,0,0,0,0,0,0,0,0,0,-1
92,69,0.0,0.0,1,0,1,0,0,0,0,0,1,-1
23,27,0.0,0.0,0,0,0,0,0,0,0,0,0,-1
54,49,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
14,59,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
81,86,0.0,0.0,1,0,1,0,0,0,0,0,1,-1
98,89,0.0,0.0,0,0,0,0,0,0,0,0,0,-1
62,91,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
67,86,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
80,43,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
15,58,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
9,90,0.0,0.0,0,0,0,0,0,0,0,0,0,-1
91,12,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
38,79,1.0,0.0,1,0,1,0,1,0,0,0,1,-1
45,16,0.0,0.0,0,0,0,0,0,0,0,0,0,-1
49,1,0.0,0.0,1,0,1,0,0,0,0,0,0,-1
9,67,0.0,0.0,0,0,0,0,0,0,0,0,0,-1
19,16,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
86,38,0.0,0.0,1,0,1,0,0,0,0,0,1,-1
72,31,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
88,89,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
5,85,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
71,50,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
70,2,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
46,62,1.0,0.0,1,0,1,0,1,0,0,0,1,-1
28,31,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
38,30,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
28,76,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
41,38,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
31,96,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
52,47,0.0,0.0,0,0,0,0,0,0,0,0,0,-1
62,29,0.0,0.0,1,0,1,0,0,0,0,0,0,-1
74,89,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
75,40,0.0,0.0,1,0,1,0,0,0,0,0,0,-1
89,76,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
31,43,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
22,28,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
27,103,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
1,16,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
2,23,0.0,0.0,0,0,0,0,0,0,0,0,0,-1
60,46,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
15,89,0.0,0.0,0,0,0,0,0,0,0,0,0,-1
63,6,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
22,74,0.0,0.0,1,0,1,0,0,0,0,0,0,-1
20,4,0.0,0.0,1,0,1,0,0,0,0,0,0,-1
1,40,1.0,0.0,1,0,1,0,1,0,0,0,1,-1
26,99,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
44,86,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
11,53,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
85,26,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
52,22,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
63,62,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
86,22,0.0,0.0,1,0,1,0,0,0,0,0,0,-1
7,15,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
101,68,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
36,53,1.0,0.0,1,0,1,0,1,0,0,0,1,-1
95,2,0.0,0.0,0,0,0,0,0,0,0,0,0,-1
79,65,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
9,5,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
88,59,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
44,65,0.0,0.0,0,0,0,0,0,0,0,0,0,-1
50,5,0.0,0.0,1,0,1,0,0,0,0,0,0,-1
80,98,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
11,12,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
38,70,0.0,0.0,1,0,1,0,0,0,0,0,0,-1
36,66,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
86,7,0.0,0.0,1,0,1,0,0,0,0,0,0,-1
27,46,0.0,0.0,0,0,1,0,0,0,0,0,0,-1
70,23,0.0,0.0,1,0,0,0,0,0,0,0,0,-1
